1,3EV INDUSTRIES PVT LTD,49,2,0,0,0,0,0,19,0,0,0,0,70
2,3S INDUSTRIES PRIVATE LIMITED,92,92,70,39,89,83,107,114,135,153,124,176,"1,274"
3,A1 HEAVY EQUIPMENTS DEVELOPER,1,3,3,1,1,1,0,3,1,2,0,1,17
4,A-1 SUREJA INDUSTRIES,0,0,1,0,1,0,0,0,3,2,1,0,8
5,AADHYA ENTERPRISES,58,67,28,43,38,25,47,55,58,45,67,40,571
6,AADITYA GARBAGE PRODUCTS PVT LTD,1,0,2,1,0,0,0,0,0,0,1,0,5
7,AAHANA COMMERCE PVT LTD,118,124,142,140,242,186,227,334,354,313,339,393,"2,912"
8,AAKK AUTO PVT LTD,0,0,0,1,2,5,7,11,5,16,7,6,60
9,AARGEE ELECTRIC,0,0,0,0,0,0,4,0,2,1,3,0,10
10,AARON INDUSTRIES,0,0,0,0,0,0,0,0,0,12,1,14,27
11,A.B. AGRO ENGINEERING WORKS,0,0,0,0,1,0,0,0,8,0,1,0,10
12,A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,0,0,0,0,0,0,0,2,0,0,0,0,2
13,ABZO MOTORS PVT LTD,5,3,6,6,18,6,4,2,5,7,4,2,68
14,ACCPL INFRA FABTECH PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0,1
15,ACCRETION POWER AUTOS,52,35,55,45,34,46,59,18,45,48,24,41,502
16,ACTION CONSTRUCTION EQUIPMENT LTD.,880,"1,087","1,116",847,878,911,888,803,951,813,746,877,"10,797"
17,A D AGRO WORKS,7,17,11,13,2,4,9,14,11,9,1,7,105
18,ADAPT MOTORS PVT LTD,1,0,0,1,0,0,0,0,0,0,0,0,2
19,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,396,236,100,62,90,120,113,121,161,83,309,602,"2,393"
20,ADIDEV TECHNOA PVT LTD,86,94,152,108,116,160,199,168,215,125,160,104,"1,687"
21,ADISHAKTI TRACTORS,0,0,0,1,0,0,0,0,0,0,1,0,2
22,ADISHWAR AUTO RIDE INDIA PVT LTD,24,30,19,24,14,19,23,19,18,23,23,10,246
23,ADITYA AGRO INDUSTRIES,4,6,13,1,2,0,6,2,2,10,12,3,61
24,ADITYA SAI INDUSTRIES,36,21,13,20,26,6,29,13,12,12,8,8,204
25,ADM TECHNOLOGIES PVT. LTD.,16,13,18,13,29,14,48,41,26,23,22,42,305
26,ADRIS ELECTRIC PVT LTD,1,2,3,1,0,0,1,0,0,0,0,0,8
27,AERODRIVE PVT LTD,0,0,0,0,0,0,0,0,0,0,0,12,12
28,AEROEAGLE AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,3,22,12,37
29,AFKON AUTOMOTIVES PVT LTD,0,0,0,0,0,0,0,7,16,25,47,70,165
30,AFTEK MOTORS INDIA PVT LTD,0,1,12,5,7,6,1,3,1,0,3,0,39
31,"AFZAL ENGG WORKS,JUNAGARH",0,0,0,0,1,0,0,0,0,1,1,0,3
32,AGP ENGINEERING PRODUCTS,0,0,0,0,0,0,1,0,0,0,0,0,1
33,AGRAWAL RENEWABLE ENERGY PVT LTD,0,0,0,0,0,2,0,0,0,0,2,0,4
34,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,15,8,13,9,7,4,11,6,17,14,8,15,127
35,AGRO INDUSTRIES,12,9,12,5,9,4,9,18,13,13,13,8,125
36,AGRO TRAILERS AP312870751,0,0,0,0,1,0,0,0,0,0,0,0,1
37,AHMED MOTORS,0,7,4,0,0,2,1,0,0,0,1,2,17
38,AJANTA KRUSHI YANTRA,2,3,0,22,2,0,17,0,2,13,2,13,76
39,AJAX ENGINEERING LTD,372,395,449,517,438,340,353,287,285,371,332,375,"4,514"
40,AJAX FIORI ENGINEERING PVT LTD,1,0,0,0,0,0,1,0,0,1,0,0,3
